"自動実行","自動実行"
"リリー","Lily"
"イベント","Event"
"\n<リリー>あ""ー生き返る""ー・・・
お""ぉ""ぉー・・・♥","\n<Lily>Ahh~ I already feel my body healing...
Ahh~ Ooh... Ahh...♥"
"\n<シィナ>おっさんみたいな声出すなや。","\n<Shina>You sound like a middle-aged man-nya."
"\n<ライム>ねーねー。
脱出ゲームが始まってから何日か過ぎたけど
\n[1]って今どんな感じかなー？","\n<Lime>Hey hey-
I wonder how \n[1] is doing since we started
our escape game?"
"\n<ライム>ねーねー。
今\n[1]ってどんな感じかなー？
脱出ゲーム。","\n<Lime>Hey hey-
I wonder how \n[1] is doing since we started
our escape game?"
"\n<リリー>うーん・・・そうね・・・","\n<Lily>Mmm... I wonder..."
"\n<リリー>もう殆ど正気が残ってないって感じね。
完璧に精奴隷に堕ちるまであと一歩ってところかしら。","\n<Lily>I think they're just barely hanging onto their sanity.
Perhaps just one more slip-up, and they'll submit and become our semen slave."
"\n<リリー>大分正気を失ってきたみたいだけど・・・
まだ脱出する意志は多少あるみたいね。
もう少し楽しめそう。","\n<Lily>It seems their mind has slipped quite a bit...
And yet, they're still out there trying to escape.
There's still fun left to be had."
"\n<リリー>思ったよりは楽しませてくれるみたい。
腐ってもハンターね。
そうこなくっちゃ、堕とし甲斐がないわ。","\n<Lily>They're a lot more fun than I thought.
For a rotten hunter, anyway.
In the end though, they'll fall before us."
"\n<リリー>あいつ、私にメロメロみたいよ♥
ちょっと誘惑するだけで顔真っ赤にしちゃう。
人間なんてチョロいわ。","\n<Lily>That little one is head over heels for me♥
All it takes is a little temptation to turn their face bright red.
Humans are so easy."
"\n<ライム>流石リリー♥
私から見てもえっちだもん。
おちんちん生えてる人間には堪らないだろうねー♥","\n<Lime>I'd expect no less from Lily♥
It's so sexy watching you.
Seeing their penis popping up, humans are irresistable♥"
"\n<リリー>そうよ。
もっと褒めなさい。","\n<Lily>Ah, yes.
Praise me some more."
"\n<シィナ>アタシも散々搾ってやったし。
もうアタシに首ったけって感じにゃ。
ウィンクするだけでイったし。","\n<Shina>I drained 'em pretty well too.
It's almost like they're in love with me too, nya.
I flash 'em a wink, and they cum in their pants."
"\n<ライム>それは盛り過ぎでしょ。","\n<Lime>No need to exaggerate."
"\n<リリー>私はガッツポーズしただけでイカせたわ。","\n<Lily>They came for me when I flashed a peace sign."
"\n<シィナ>どういう性癖にゃん・・・","\n<Shina>That's a specific fetish, nyan…"
"\n<ライム>私、\n[1]のこと気に入っちゃったかもー♥
だってね、すぐいっぱい出してくれるんだよー♥
えへへー♥","\n<Lime>You know, I'm really starting to like \n[1]♥
They squirt out so much, so quickly♥
Eheehee-♥"
"\n<リリー>溶かして食べたりしないでしょうね。","\n<Lily>You're not going to melt them down and eat them, are you?"
"\n<ライム>そんなことしないよー。
まだねー。","\n<Lime>I wouldn't do that.
Not yet anyway."
"\n<シィナ>まだ？","\n<Shina>Not yet?"
"\n<ライム>今どこにいるのかなー？
みんなお風呂入っててだいじょーぶ？","\n<Lime>Where are they now?
Was it alright for us all to take a bath?"
"\n<リリー>平気でしょ。
玄関の鍵、隠してるし。
ここから出られるはずないわ。","\n<Lily>It'll be fine.
I hid the front door key.
There's no way they're getting out."
"\n<シィナ>脱出不可能にゃ。
アーコのバカもついでに出られんくなってるし。","\n<Shina>Escape is impossible, nya.
Even that moron Ako can't get out right now."
"\n<ライム>あ、そういえば食材頼んでたんだった。
あとで買いにいこー♥","\n<Lime>Ah, that remind me, I need to ask her for some ingredients.
I'll have her buy them a little later♥"
"\n<リリー>そういえば石鹸ってまだ残ってたかしら。
無かったらアーコに頼まなきゃ。","\n<Lily>Come to think of it, is there much soap left?
If we're all out, I'll need to ask Ako for some."
"\n<リリー>何やってんのあんた・・・
のぞき？
いい度胸じゃない。","\n<Lily>What do you think you're doing...
Peeping?
You've got some nerve."
"ライム","Lime"
"シィナ","Shina"
"掃除道具入れ","掃除道具入れ"
